Beats per Second (1000ms),BPM,EGM Mean RV,EGM STD RV,EGM Skewness RV,EGM Kurtosis RV,R-R Interval RV,BP,Max Actual BP,Mean Actual BP,Per Mean,Per STD,Per Skewness,Per Kurtosis,Current Perfusion Grad,Decision,perfusion_consensus_max,perfusion_consensus_height,perfusion_mean
0,64.23982869379014,0.34756243948539156,0.6240883042041474,2.1438953047212514,3.1025520626584626,934,46.09653653331982,82.0,54.84132762312634,4.503853099306822,0.05390148998861657,0.0,-3.0,0.009220338770928078,0,4.5763854088204505,0.009317573196176987,4.503853099306822
0,62.95907660020986,0.38779524338498533,0.6476668735457771,2.125691237853654,3.1221863555841223,953,46.168446701975434,79.4,53.19328436516265,4.316123776010192,0.12994771564895624,0.0,-3.0,0.013382588101153586,0,4.467983354890625,0.009015810841361827,4.316123776010192
0,63.492063492063494,0.36913712432522255,0.6739589508913263,2.1313285507906157,3.078849399154141,945,47.367086836460906,77.0,51.68243386243386,4.194677331859273,0.11095779043441766,0.0,-3.0,0.08319534825386334,0,4.334796685610773,0.046900690766551456,4.194677331859273
0,66.66666666666667,0.4094420583704204,0.6778291173154241,2.0277595027967545,2.63032678250202,900,49.73428793164496,76.0,51.88033333333334,4.1914781204831,0.12926129780619772,0.0,-3.0,0.22354128271758286,0,4.380298802952406,0.11470560510288141,4.1914781204831
0,68.3371298405467,0.41301911915836664,0.6257364893105104,2.014474377838056,2.6044547055389193,878,50.36596483715635,77.0,52.72790432801822,4.1746777768747965,0.14626358081362073,0.0,-3.0,0.2615647816882755,0,4.374643114282199,0.12691251445837182,4.1746777768747965
0,68.18181818181819,0.37934657798570465,0.60393459208984,2.038290180141799,2.6640100261990662,880,50.12134492849448,78.7,53.57579545454546,4.184477058763505,0.15783508249072922,0.0,-3.0,0.24681075769031713,0,4.389386153507465,0.1150152427788198,4.184477058763505
0,67.41573033707866,0.3804756076522235,0.624312636098629,2.0269272561803615,2.6272937621857695,890,51.325208733305246,79.4,53.8956179775281,4.135829238616099,0.1939591727319369,0.0,-3.0,0.31978180561516056,0,4.3982319926698965,0.1534858421021461,4.135829238616099
0,67.0391061452514,0.382279451263901,0.6064383080990643,2.1073133408745064,2.948534166835633,895,51.203229579191664,79.4,53.938100558659215,4.135918915316597,0.19577728615918735,0.0,-3.0,0.31234661724588525,0,4.39365585723881,0.1450107214736942,4.135918915316597
0,66.51884700665188,0.3884074259823911,0.6561764219054859,2.1025061976037187,2.942794535911953,902,49.853968722318925,80.0,54.28281596452329,4.195437717016579,0.2131272643496002,0.0,-3.0,0.23072652709578323,0,4.452399435045513,0.12362765164276901,4.195437717016579
0,65.0759219088937,0.3823124997042839,0.6167353841920715,2.1693499771077907,3.313442294076938,922,49.25979874176623,80.2,53.72255965292841,4.201612782502935,0.2287010739233123,0.0,-3.0,0.1951406482083113,0,4.469561967723575,0.12295154545167453,4.201612782502935
0,64.79481641468682,0.41214973977529856,0.5805065817640752,2.1014273295998285,2.9032277241243243,926,48.51729369403864,78.5,53.013282937365,4.201343187721737,0.23657131907463846,0.0,-3.0,0.1509711751761586,0,4.471145409813983,0.08958830613780755,4.201343187721737
0,65.359477124183,0.4374125533026639,0.6023435195718381,2.1123833560380105,3.037371577842009,918,48.538766001695365,77.9,52.97505446623094,4.196028189127623,0.23305737533237914,0.0,-3.0,0.152243860737039,0,4.466384996293077,0.08715494277325053,4.196028189127623
0,67.72009029345372,0.4688565038784139,0.631580641024964,1.8788958180456232,2.139446628727357,886,49.23628880878409,80.0,54.51444695259594,4.19662544733575,0.2282553671015694,0.0,-3.0,0.19373701760105394,0,4.46751271055559,0.11293748168507456,4.19662544733575
0,67.1892497200448,0.5007110636921563,0.5589254944347701,2.084775883417605,2.902783306020087,893,49.66116283115158,81.69999999999999,55.162374020156776,4.220043992890945,0.2204482957703102,0.0,-3.0,0.21915541176778494,0,4.481139135664241,0.12546007094071054,4.220043992890945
0,66.59267480577137,0.4621719763075294,0.5470469972318858,2.120519309129351,3.14597353865629,901,50.649879660922835,81.69999999999999,55.155604883462814,4.2144635580607535,0.23153489577413533,0.0,-3.0,0.2787355184641976,0,4.491647944004044,0.1551900202937233,4.2144635580607535
0,66.59267480577137,0.4603317885789988,0.5488307157138547,2.027476252702765,2.7731288395286944,901,49.683782159286295,81.3,54.93440621531632,4.21727598321874,0.22912289104285957,0.0,-3.0,0.22051171597720398,0,4.488201686486941,0.12931546271023198,4.21727598321874
0,66.66666666666667,0.41374502404547686,0.616209054838084,2.0080068327946012,2.608528281367759,900,49.64518448819651,81.5,55.236000000000004,4.2266842206998625,0.23256685815797287,0.0,-3.0,0.2181975041627602,0,4.504065304140012,0.133670743045589,4.2266842206998625
0,66.00660066006601,0.5198679744896996,0.5703212082418473,2.0529629261544016,2.8789971773088734,909,50.05707315675361,80.7,54.50528052805281,4.219118744168571,0.253351775077961,0.0,-3.0,0.2429404119497882,0,4.517243603387673,0.15094882327234327,4.219118744168571
0,66.74082313681869,0.498040678680959,0.6111670334132523,2.077517074073811,2.9147451973283838,899,48.35962109772203,80.9,54.94905450500557,4.20141564882086,0.2631761512278342,0.0,-3.0,0.14163416660202355,0,4.49245158208742,0.08800275769545873,4.20141564882086
0,66.88963210702342,0.40231511554531224,0.6012385014007379,2.1235162018480462,3.0742169509931108,897,48.39173064884655,81.69999999999999,55.586733556298775,4.191210593180586,0.26680464069116633,0.0,-3.0,0.14353442174845332,0,4.491813206935368,0.09168861773568437,4.191210593180586
0,68.02721088435374,0.4130476878438671,0.5850491519216063,2.0149195752091154,2.578405938874771,882,47.89447455287975,82.69999999999999,55.95804988662132,4.196525052152918,0.2666114389830496,0.0,-3.0,0.11417506099775097,0,4.493282135528717,0.07253549487822752,4.196525052152918
0,72.37635705669481,0.39498757966452575,0.6303962200770425,1.961084760993683,2.3354152947484037,829,47.87559392881674,83.2,57.49227985524729,4.198291400902128,0.2688517344703233,0.0,-3.0,0.11306317020774743,0,4.493943241145264,0.07242110619411335,4.198291400902128
0,73.17073170731707,0.47500674546853566,0.6506957955064733,1.885423322478705,2.0525583431347583,820,48.14365231078187,83.5,57.75853658536585,4.215518227257435,0.2550819819417838,0.0,-3.0,0.1288689368227954,0,4.496614112698851,0.08119579668377774,4.215518227257435
0,73.17073170731707,0.4060745850561461,0.6163187076564884,1.9258991372514893,2.225917527764212,820,48.58177455323093,85.39999999999999,58.624024390243896,4.211479696735795,0.24569446012052049,0.0,-3.0,0.15479384821650782,0,4.496881549571567,0.10185291701559596,4.211479696735795
0,70.58823529411765,0.4462840152432128,0.5770993894380262,2.0095944846361933,2.6382730963466523,850,48.75015494324422,85.2,57.966352941176474,4.241376949521276,0.24559951207200215,0.0,-3.0,0.16478779304991112,0,4.516698841696669,0.10842887522504441,4.241376949521276
0,68.88633754305395,0.45773120738680806,0.6658256304106309,2.0511276585936757,2.789596615220449,871,48.924491363673,83.7,56.79334098737084,4.225336857013129,0.26003538621993955,0.0,-3.0,0.1751531456243239,0,4.518944968364705,0.1118865150969155,4.225336857013129
0,69.28406466512702,0.4707154563421974,0.6726325201367294,1.9785364662763347,2.4527098896376094,866,49.06255366492878,82.69999999999999,56.44665127020786,4.2111591672691695,0.26425643319098124,0.0,-3.0,0.18337474996520814,0,4.518677311065625,0.11393794523647749,4.2111591672691695
0,68.96551724137932,0.45502926678811395,0.586925754235269,2.055920170463871,2.7416008770914866,870,49.17971677485252,83.2,56.648965517241386,4.201946308759099,0.2679549755900153,0.0,-3.0,0.19036082826457684,0,4.513484296951542,0.11728197120660067,4.201946308759099
0,69.04487917146145,0.47341584206534737,0.6096977341699567,2.061348738706517,2.8377623889087795,869,48.938973268074065,83.0,56.58642117376294,4.1999567107943285,0.2643720056733685,0.0,-3.0,0.17601500359084732,0,4.510420889961177,0.1096722210453267,4.1999567107943285
0,68.72852233676976,0.4565774987921292,0.6531888355643615,2.0350993333084526,2.6953748099543313,873,48.24007270519044,82.69999999999999,56.07835051546391,4.206062751510734,0.26891205182808237,0.0,-3.0,0.13456462716149659,0,4.50824225083421,0.07914782400708198,4.206062751510734
0,70.09345794392523,0.5054905851548254,0.6345692979090936,1.9130265748528974,2.2055336840996507,856,49.41576023834263,83.7,57.087032710280376,4.188633159638335,0.2818167286816842,0.0,-3.0,0.2044606223017481,0,4.51318319345315,0.11704765927411653,4.188633159638335
0,70.01166861143524,0.4760347387729727,0.6057233361985773,1.9812006502127255,2.4275370048513025,857,49.09484997370094,85.0,57.73337222870478,4.187866756572405,0.2769498464789174,0.0,-3.0,0.18529965234762769,0,4.5105175904537145,0.10672531028888255,4.187866756572405
0,69.68641114982579,0.538533793420916,0.6244974026531017,1.9540724745700668,2.307586302596178,861,48.78978133008133,84.89999999999999,57.965156794425084,4.196080291567987,0.27545579636751377,0.0,-3.0,0.16714221941646712,0,4.510724890437015,0.0991844709807026,4.196080291567987
0,70.75471698113208,0.47955918619515436,0.6195324191443813,1.9692016498796603,2.366835837784021,848,48.74042267037285,85.5,58.365566037735846,4.212611556526491,0.2639622412408023,0.0,-3.0,0.16420968793633678,0,4.5159452543784315,0.09371844738370516,4.212611556526491
0,71.68458781362007,0.49094712788080613,0.6719773244749799,1.8239133403199623,1.8544258111776104,837,49.034627803055656,86.7,59.40549581839905,4.206999645507113,0.2743100498686485,0.0,-3.0,0.1817108393355071,0,4.524362267533335,0.10402398856314399,4.206999645507113
0,70.58823529411765,0.4045214605098648,0.6356312362201751,1.9999221670496488,2.531600356321796,850,49.27104574227152,87.6,59.83682352941176,4.197953320896167,0.27972902803065663,0.0,-3.0,0.19581225450906972,0,4.525500386313915,0.1158560251379237,4.197953320896167
0,70.01166861143524,0.41356542752420994,0.6466076477591448,1.9809651712723007,2.4520429450967915,857,49.36667071630429,87.5,59.79276546091015,4.199766007799596,0.2736520349257617,0.0,-3.0,0.201525528975834,0,4.530144986266324,0.12099506881164324,4.199766007799596
0,69.20415224913495,0.3793008833431187,0.6517455562238965,1.9996744421478223,2.484443942378765,867,49.25570665346217,87.2,59.6558246828143,4.188537056267324,0.2887144953758932,0.0,-3.0,0.1948963112115634,0,4.529546956236698,0.11735504303630329,4.188537056267324
0,67.95016987542469,0.3556065656930981,0.6433294667251789,2.0290937903500224,2.6167052150554104,883,49.527077192155254,87.2,59.12899207248018,4.190034290277451,0.29102450129910573,0.0,-3.0,0.2111217664330449,0,4.5330682585165425,0.12417730921749737,4.190034290277451
0,68.18181818181819,0.360268461225065,0.6538669324643297,2.0039100474866967,2.513984546377449,880,48.74866477072435,85.2,58.126704545454544,4.165138295853309,0.2903715118344186,0.0,-3.0,0.16469927188265232,0,4.503548296110179,0.09658496357919066,4.165138295853309
0,70.01166861143524,0.36241400249905464,0.643930927893695,1.963078108713089,2.352207211097154,857,48.795488950999754,84.2,57.608868144690774,4.1488238387701335,0.28621651984913543,0.0,-3.0,0.16748141880928186,0,4.478406082547552,0.09441646978534024,4.1488238387701335
0,72.90400972053463,0.3861652292227959,0.6318280946893589,1.8888009063719144,2.062179202993894,823,48.7029881727073,85.0,58.86950182260024,4.1523924411410515,0.279349423512481,0.0,-3.0,0.1619865762405448,0,4.475779502774233,0.0949941428387886,4.1523924411410515
0,71.00591715976331,0.3790022616440456,0.625026732872057,1.9579273207148682,2.3351209142221734,845,47.528711225306594,86.5,59.174082840236686,4.146156436575868,0.2806121761656142,0.0,-3.0,0.09267221000641201,0,4.455323235917695,0.05515458806574802,4.146156436575868
0,70.09345794392523,0.4220897568120931,0.6684404235959959,2.057250136909595,2.7859915395748978,856,46.97800268090201,86.0,58.496261682242995,4.172071080317093,0.2490087964200482,0.0,-3.0,0.06044345065071478,0,4.4462434259883645,0.035129422628310536,4.172071080317093
0,67.26457399103138,0.4246197323154031,0.6701427562867565,2.0808999573321483,2.8561938828955524,892,47.50211859035036,81.2,55.618609865470845,4.167377717757296,0.24463651030225014,0.0,-3.0,0.09111190365040205,0,4.441585350493759,0.05327183557001902,4.167377717757296
0,66.1521499448732,0.44643753297975625,0.657195291116345,1.9437023235642295,2.3515164963158597,907,49.06179057706032,78.4,53.74035281146637,4.151110741553012,0.22447129770986332,0.0,-3.0,0.1833292765395065,0,4.430349401236585,0.1046305304249211,4.151110741553012
0,67.87330316742081,0.4655628188384102,0.6312830853094441,1.9600366537559344,2.3898312514016693,884,49.62445970722102,78.2,54.003846153846155,4.163345252260086,0.23198902090816734,0.0,-3.0,0.21695527841730225,0,4.4534829508116225,0.12836580900984362,4.163345252260086
0,68.57142857142857,0.5118814508992571,0.5891741949548144,1.9659144690949657,2.481242912177126,875,50.07796242082608,76.4,53.036228571428566,4.162333223927346,0.23425912836439838,0.0,-3.0,0.24419805085985052,0,4.458499487780119,0.14022262353191906,4.162333223927346
0,70.6713780918728,0.5684033784929278,0.5695496549815148,2.018268211827761,2.7303133734055915,849,50.984284252296504,76.5,53.62767962308599,4.180491066634724,0.22643896489033638,0.0,-3.0,0.29902455131157013,0,4.477296749748399,0.17170544048755954,4.180491066634724
0,73.89162561576354,0.5063077322380606,0.5917950496081784,1.7619372671887772,1.7637434896953756,812,51.9162139866119,79.0,55.3448275862069,4.170379421975789,0.24326783130064503,0.0,-3.0,0.3559408089074297,0,4.487714785537979,0.20997976141600816,4.170379421975789
0,73.89162561576354,0.43723660148317756,0.6375795575565821,1.7855952935360886,1.7796008089645996,812,51.99528652490074,81.2,56.89359605911331,4.1774427073641,0.24272065379421004,0.0,-3.0,0.36079566303693716,0,4.495487726320104,0.20465755313517242,4.1774427073641
0,72.81553398058253,0.4565598834243097,0.6709277834589972,1.8872035810365777,2.0909909042863566,824,51.301595756787016,82.39999999999999,57.26723300970873,4.231012185693818,0.24061436856897978,0.0,-3.0,0.3183417485732566,0,4.528763124140396,0.17557493512128453,4.231012185693818
0,73.61963190184049,0.4620036530231424,0.6562458487249583,1.931942284458403,2.231413965582388,815,51.129386824799504,82.19999999999999,57.538895705521476,4.231787852586754,0.24731710871286355,0.0,-3.0,0.30785015070210675,0,4.530829586380414,0.1799971896623811,4.231787852586754
0,75.28230865746549,0.39265808741276614,0.6694431162348002,1.8072745789131541,1.7269536599296051,797,50.25564582418793,83.89999999999999,58.60037641154329,4.2449293788388625,0.2369569118566107,0.0,-3.0,0.2549063978733722,0,4.525240902622502,0.14592671720234662,4.2449293788388625
0,77.51937984496124,0.4385513781330257,0.6404900819978576,1.8371554012317983,1.8896726083058706,774,50.7920610847785,83.89999999999999,59.06279069767442,4.23752248997334,0.24842921339222904,0.0,-3.0,0.28735337830283947,0,4.528792340654088,0.1645019914682102,4.23752248997334
0,78.3289817232376,0.5195195847343126,0.6375834171320288,1.7442882728694913,1.5699736123239534,766,49.52044380446565,84.7,59.202349869451695,4.2528521709925675,0.22441338596289911,0.0,-3.0,0.2107246166708486,0,4.508175871278535,0.11879471516772977,4.2528521709925675
0,78.02340702210664,0.4598435294582117,0.6372364440948939,1.8138268083671905,1.7342469606270337,769,50.184463954383745,85.0,59.52938881664499,4.264089367276528,0.20796532716150945,0.0,-3.0,0.25061417292695665,0,4.506268160898285,0.13559618131621054,4.264089367276528
0,76.04562737642586,0.5347706164540628,0.6651812744761193,1.8944937330546394,2.1246372927607453,789,50.355359925609854,86.7,60.06197718631178,4.247755105360218,0.22539363581194538,0.0,-3.0,0.2609243860687172,0,4.5067598196464695,0.1439070673087226,4.247755105360218
0,74.16563658838072,0.4187502423797123,0.6869141789873313,1.9325145579217438,2.2292454819073706,809,49.34285578398009,85.8,59.10865265760197,4.248457003151957,0.2219102967598311,0.0,-3.0,0.20010214681309715,0,4.501812645385209,0.11175857604925898,4.248457003151957
0,74.44168734491315,0.3876520327721179,0.6682651436622858,1.8832324646606313,2.0216337317752506,806,50.022233070386285,83.6,58.074069478908186,4.249715690939466,0.22335763712896814,0.0,-3.0,0.2408434626214927,0,4.510521245044505,0.13535386444270436,4.249715690939466
0,75.47169811320755,0.4073631344057378,0.6558678307136975,1.8610977007129574,1.9269666893047734,795,49.455818378379504,83.5,57.956226415094335,4.250047151834686,0.22164105732005185,0.0,-3.0,0.20685680972483433,0,4.509235530226049,0.11589217388944206,4.250047151834686
0,76.43312101910828,0.45611912899002144,0.6368634263902625,1.8337473310440824,1.8660475114803932,785,50.254229818239786,82.89999999999999,58.143184713375796,4.226303460451582,0.25387326531750054,0.0,-3.0,0.25482098292379013,0,4.5275623931123095,0.14765681670150688,4.226303460451582
0,74.90636704119851,0.3896775831799292,0.6633516511944394,1.8392422992420423,1.8583402669435714,801,49.38301020670785,85.0,58.80574282147316,4.230327208439253,0.25698144923710137,0.0,-3.0,0.2025023147027648,0,4.5321271144763635,0.119814358246213,4.230327208439253
0,73.52941176470588,0.4052123646504026,0.6476933779473336,1.9107119927487335,2.139999155730087,816,49.474807279227235,84.7,58.63651960784313,4.2271993402033745,0.2542099465142506,0.0,-3.0,0.2079930241594,0,4.530121540023933,0.12197401571187338,4.2271993402033745
0,75.47169811320755,0.40395078165268145,0.6658769949920524,1.8413298073015243,1.8565345955450594,795,49.758375443859876,84.2,58.651320754716984,4.232348802794946,0.2502629452116422,0.0,-3.0,0.22498671207254933,0,4.532327006587021,0.13154709924126262,4.232348802794946
0,76.33587786259542,0.4237941851170783,0.6566225065364628,1.8417854916875853,1.854326134963486,786,49.51744541537798,83.7,58.97315521628499,4.230753805133581,0.2590088847705382,0.0,-3.0,0.210545107925338,0,4.531684399280091,0.1231031835751244,4.230753805133581
0,74.6268656716418,0.38765201411588246,0.6618194346676971,1.848836366217612,1.8868560255682683,804,49.63340958312032,86.7,59.92300995024875,4.2274665803205105,0.2639736397984124,0.0,-3.0,0.21749169415107297,0,4.535189631058408,0.1302015786103885,4.2274665803205105
0,73.89162561576354,0.3863900261791616,0.6938544691535408,1.9016572015688793,2.126568961454452,812,49.55512152992683,87.5,60.56453201970442,4.220991539528592,0.2683512995180945,0.0,-3.0,0.21280111492217396,0,4.53406066315742,0.1277649431717558,4.220991539528592
0,72.99270072992701,0.38208803678065334,0.6891375484444501,1.8993490465455323,2.106697172169735,822,49.81406345878004,88.4,61.03211678832116,4.200959926630145,0.28589307392732266,0.0,-3.0,0.22832976825715884,0,4.534325578113445,0.13987796936921892,4.200959926630145
0,70.4225352112676,0.359139439218383,0.647604036802163,1.9392239214776943,2.241332351679058,852,49.31655208791544,87.5,59.753286384976526,4.198007121241415,0.2978220662677735,0.0,-3.0,0.1985304153276977,0,4.53267765504295,0.12370133110276971,4.198007121241415
0,70.17543859649123,0.39816815594155086,0.6364432835135331,1.9889135681900718,2.4735832762974566,855,48.409200430467486,84.7,58.066549707602334,4.191029518942185,0.2845171385058304,0.0,-3.0,0.14456854719394965,0,4.511696560641885,0.09209689117837883,4.191029518942185
0,70.2576112412178,0.373484629262326,0.6589975946236368,1.9788309100031147,2.3987241880363817,854,48.046645388334206,81.5,55.966510538641685,4.184750644794429,0.2793131865196641,0.0,-3.0,0.12314414244247215,0,4.5079851167384115,0.07930821243001684,4.184750644794429
0,72.28915662650603,0.36617526653967136,0.6571741605969915,1.9281453088237572,2.1975096841418136,830,48.09507024228865,80.5,55.76313253012049,4.1900816122087985,0.27786886091012564,0.0,-3.0,0.12600120646936927,0,4.512190641965479,0.08114824605685378,4.1900816122087985
0,74.53416149068323,0.3748712672696243,0.6539552561980282,1.8601068885138903,1.9315732537457109,805,46.9865366730604,81.3,56.627453416149066,4.1838284193569395,0.2726979081275919,0.0,-3.0,0.060941543018648875,0,4.4793604435029115,0.03807798901311621,4.1838284193569395
0,75.75757575757575,0.39379049679119127,0.6674079028755594,1.852281518680172,1.9072822724866638,792,47.30671231422024,83.5,58.375505050505055,4.189084580910846,0.2655218448215667,0.0,-3.0,0.07965917566519973,0,4.476339234331463,0.05046846319870202,4.189084580910846
0,75.28230865746549,0.39185732941152884,0.6735894536502197,1.8446855344827426,1.8623273237597688,797,47.086264496788296,85.5,59.54604767879548,4.215574526628453,0.23464085910990118,0.0,-3.0,0.06676533591463939,0,4.470194972907502,0.04183338920569568,4.215574526628453
0,74.53416149068323,0.38299782892773565,0.6520000843449058,1.8681306555263106,1.9713308542487802,805,47.87477395948864,85.9,59.520745341614905,4.2220686061823365,0.25052669211228223,0.0,-3.0,0.11301488648701183,0,4.494124177334821,0.07081219107547376,4.2220686061823365
0,74.07407407407408,0.37266232648990066,0.6609546023555534,1.877982037643403,2.0050341370633973,810,48.84857801895059,86.5,59.7558024691358,4.204943663253541,0.26890941981183175,0.0,-3.0,0.17063739637568107,0,4.506711962519371,0.10155638808253631,4.204943663253541
0,74.6268656716418,0.3994676981300461,0.686437545145787,1.9020205559775398,2.102539954977101,804,47.45332470933707,87.5,60.67960199004975,4.174792840188522,0.2659709981657364,0.0,-3.0,0.08825002374047033,0,4.469765542505187,0.05421696534348541,4.174792840188522
0,75.75757575757575,0.396818012286077,0.6827215629781729,1.8565974684177446,1.9340767303775062,792,49.40347996291144,87.2,60.641792929292926,4.196612835964954,0.2585850823512907,0.0,-3.0,0.2037262395058605,0,4.502204479159008,0.12160523538496637,4.196612835964954
